State,Campaign name,Country,Status,Type,Targeting,Retailer,Portfolio name,Campaign bid strategy,Campaign start date,Campaign end date,Avg. time in budget,Campaign budget amount (converted),Campaign budget amount,Cost type,Impressions,Top-of-search impression share,Top-of-search bid adjustment,Clicks,CTR,Total cost (converted),Total cost,CPC (converted),CPC,Detail page views,Brand Store page views,Purchases,Sales (converted),Sales,ACOS,Purchases (new to brand),Percent of purchases new to brand,Sales (new to brand) (converted),Sales (new to brand),Percent of sales new to brand,Long-term sales (converted),Long-term sales,Long-term ROAS,User reach,Viewable impressions,CPM (converted),CPM,Viewable CPM (vCPM) (converted),Viewable CPM (vCPM),First quartile (video ad),Midpoint (video ad),Third quartile (video ad),Complete views (video ad),Unmutes (video ad),Viewable distribution,Viewable CTR (vCTR),KENP read,Estimated KENP royalties (USD)
ENABLED,Genesis Protocol - Comp Author Keywords,United States,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Amazon,,Dynamic bidding (up and down),02/28/2026,,84.22495039682539,$5.00,$5.00,CPC,49054,<5%,0,69,0.0014,$124.05,$124.05,$1.80,$1.80,0,0,1,$2.99,$2.99,41.4883,0,0,$0.00,$0.00,0,$0.00,$2.99,0,,0,$2.53,$2.53,$0.00,$0.00,0,0,0,0,0,0,0.0014,0,0
ENABLED,Genesis Protocol - Genre Keywords,United States,CAMPAIGN_OUT_OF_BUDGET,SP,MANUAL,Amazon,,Dynamic bidding (up and down),02/28/2026,,91.71057903814255,$5.00,$5.00,CPC,29904,0,0,52,0.0017,$89.73,$89.73,$1.73,$1.73,0,0,0,$0.00,$0.00,0,0,0,$0.00,$0.00,0,$0.00,$0.00,0,,0,$3.00,$3.00,$0.00,$0.00,0,0,0,0,0,0,0.0017,0,0
PAUSED,Genesis Protocol - Keyword Targeting,United States,CAMPAIGN_PAUSED,SP,MANUAL,Amazon,,Dynamic bidding (down only),02/22/2026,,100,$5.00,$5.00,CPC,6547,0,0,12,0.0018,$16.12,$16.12,$1.34,$1.34,0,0,0,$0.00,$0.00,0,0,0,$0.00,$0.00,0,$0.00,$0.00,0,,0,$2.46,$2.46,$0.00,$0.00,0,0,0,0,0,0,0.0018,0,0
PAUSED,Aethelred Cipher - Product Targeting,United States,CAMPAIGN_PAUSED,SP,MANUAL,Amazon,,Dynamic bidding (down only),02/22/2026,,100,$5.00,$5.00,CPC,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,0,0,0,$0.00,$0.00,0,0,0,$0.00,$0.00,0,$0.00,$0.00,0,,0,$0.00,$0.00,$0.00,$0.00,0,0,0,0,0,0,0,0,0
ENABLED,Aethelred Cipher - Manual Keywords,United States,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Amazon,,Dynamic bidding (down only),02/21/2026,,95.36181382275132,$10.00,$10.00,CPC,169985,<5%,0,173,0.0010,$229.64,$229.64,$1.33,$1.33,0,0,8,$16.92,$16.92,13.5721,0,0,$0.00,$0.00,0,$0.00,$16.92,0,,0,$1.35,$1.35,$0.00,$0.00,0,0,0,0,0,0,0.0010,546,2.52177198
